price,sq_feet,quality
52904.61,821,59
130325.36,1554,86
41788.6,722,54
71202.5,1399,50
16601.44,447,32
47706.4,1680,26
48438.1,1529,34
34113.28,904,27
8379.36,1732,2
53919.76,1737,32
60945,730,75
170193.08,1994,82
6204.25,825,3
93924.6,1514,62
93261,1270,66
9894.4,1228,6
107710.56,1882,68
54057,475,92
135174.48,1999,78
136789.82,1253,99
15300.09,817,17
83472,1490,55
13865.2,1616,7
36465.6,727,40
168275.6,1755,96
60324.32,549,89
107365.28,1632,59
31027.38,687,37
40645.8,502,90
7780.5,1595,2
45963.16,507,92
26673.68,649,39
103662.4,1538,81
57599.36,694,84
16778.7,1129,10
48813.3,619,70
61997.64,1033,54
34600.6,1281,20
86481.2,1595,49
88718.37,967,79
94694.25,1893,45
175262.74,1757,94
57187.2,1429,40
14072.32,1287,8
152924.84,1923,82
115215.36,1889,56
28674,1246,19
59032,578,100
67195.52,811,72
14100.48,1034,12
6984.6,663,5
65558.08,1846,29
13799.94,494,17
112545.52,939,98
85724.73,1159,87
40598,900,37
48490.32,1057,48
102977.24,1827,66
108209.5,1611,75
119140.96,1391,96
16159.5,1039,10
57765.72,1522,43
137392.72,1533,74
9614.2,814,5
16151.65,673,15
30606.8,1824,17
90900.16,1962,42
59577.02,771,59
33888.4,986,30
43112.25,643,75
43958.16,788,53
50727.02,603,63
10113.64,742,6
16913.52,788,12
22915.27,463,33
126729.38,1507,98
46858.68,557,76
15934.56,1613,8
64503.54,1777,42
36597.6,772,40
52468.94,489,91
11202,1445,3
144902,1317,100
107202.56,892,98
8808,1170,2
16542.4,871,18
83889,667,100
109472,1451,72
102918.39,1691,67
83577.28,1234,68
99517.44,1016,81
40762.05,1091,31
69614.78,913,62
87980.54,1031,78
106041.96,1553,71
20282.88,1344,12
49266.8,1372,29
138852.84,1999,73
55991.25,1425,45
65442.08,1084,54
29467.62,473,53
30017.2,1648,15
97847.78,1682,57
7862.26,1278,3
152988.04,1781,76
120879,1645,65
88422.4,1364,70
132245.99,1967,73
75720,1793,50
114576.82,1509,82
15082.2,1135,12
9949.5,505,10
28922.49,1079,23
69047.7,1117,70
12679.2,568,16
97185.42,1337,86
47487.32,1332,33
145475,1873,75
78169.8,815,78
43008.44,726,49
20745.85,645,31
9677.36,1999,3
16702.06,1311,11
8354.5,705,5
90675.2,1868,58
152540.64,1802,98
23863.92,657,28
78154.56,1822,46
58570.2,969,62
94233.3,1241,62
28536.3,1571,17
32798.52,934,38
38664.2,1660,21
35901.5,565,45
38207.6,448,63
85705.32,1603,52
76981.44,1059,71
65856.14,1786,33
52359,1350,38
7857,455,5
188988,1794,85
74292.4,1545,43
94974.88,1942,53
50015.6,1489,32
94656.5,1718,45
93041.28,1106,68
19281.52,447,26
32759.04,1978,12
66184.96,1928,27
34335.6,431,65
38137.49,1107,31
124330.3,1998,63
38428.4,768,37
84137.76,764,86
30249.2,1812,15
49805.65,1495,29
8330.36,897,4
31507.2,682,44
20773.52,1026,16
23030.36,1541,13
12695.36,1011,8
72032.4,968,70
128156.75,1975,57
63920.64,1902,36
143035.8,1721,70
123188.53,1187,91
20272.78,453,41
105836.8,1989,64
110015.5,1749,50
42863.58,1261,38
58017.75,529,95
66847.68,1778,32
35529.12,1538,23
58652.96,1512,44
70501.9,1198,47
107179.18,1774,57
11335.2,494,9
141805.25,1525,87
52365.2,1962,30
36524,1388,25
48672,1828,25
34884,584,50
52445,700,81
101993.8,1218,70
23554.8,1204,20
19850.56,686,28
36717.54,514,61
177121.38,1891,97
95069.16,1084,73
98365.47,1991,53
17557.6,1957,8
11627,1114,5
112946.9,1007,97
13311.12,437,16
50828.88,742,72
25779.78,1002,17
13263.5,447,25
112145.6,1548,82
24694.2,1130,17
64452.18,1257,41
19463.6,704,22
47937,650,57
94934.66,1191,71
112644,1583,68
58563.52,1504,39
116385.76,1232,76
96846.5,1677,50
11577.44,1779,3
128442.65,1211,85
156307.14,1842,83
156458.08,1843,96
47889.5,1195,38
93508.66,1461,71
27146.45,657,41
16284.56,948,13
69632.96,1504,47
62538.29,1843,29
50796.9,943,46
103217.4,1460,57
102187.68,1838,44
48220,737,75
20949.6,477,40
11373.9,723,10
186639.2,1984,83
87849.44,1883,39
123915.96,1233,89
112901.76,1201,88
114861.84,1294,74
108419.8,1180,99
7574.6,943,2
23490,1200,20
143187.4,1695,76
6055.83,1117,1
10621.4,1309,5
171322.72,1551,92
31611,1157,23
149214.73,1749,93
6892.24,912,2
8008.32,1628,2
107008,1794,60
121300.8,1185,88
74643.28,1696,36
82188.2,764,87
22641.92,634,24
51110.1,849,61
31385.24,1106,22
27741.12,1176,17
21935.68,596,27
46330.72,1384,32
40370.52,659,59
84783.6,1948,37
22732.16,434,48
12445.16,1446,6
7458.09,573,3
41944,420,90
30402.32,729,44
31982.1,1757,15
64932,815,65
41177.7,1022,35
118996.27,1797,77
71346.36,1022,58
7988.75,925,5
90754.98,1187,78
121776,1327,88
35066.4,1101,22
19028.2,910,18
24166.08,543,32
67000.96,1238,48
78386.22,1307,47
52246.2,1361,30
66281.64,769,78
53989.55,881,55
36428.28,609,63
37200.51,1073,29
6424.95,1119,1
7900.98,706,3
142774.8,1354,88
18853.1,422,27
22448.25,707,25
77037.48,701,86
139184.1,1490,91
49534.44,1573,28
63067.98,1993,26
8668.75,1375,3
57665.58,962,53
125160,1525,70
95419.17,1101,83
26183.04,776,26
17912.88,1931,6
55455.3,1505,29
48204.96,481,76
60273.92,1808,27
78964.32,992,73
50722.35,1397,31
28342.43,897,27
65592,745,85
24794.04,413,44
100440.76,1527,52
20864.32,612,22
132924.16,1444,78
48413.76,574,64
10503.12,602,8
35032.5,575,59
33097.6,1732,21
133764,1638,65
36826.25,1095,35
26535.2,1140,24
113400.56,1869,64
14485,1355,7
119489.28,1974,52
123512.3,1970,73
78587.04,864,74
54709.76,696,63
134444.48,1224,89
22480.8,1532,14
44609.92,1674,28
73961.97,1183,63
50586.9,682,55
31500.8,1244,18
152980.32,1814,92
14366.4,1252,10
18488.4,1134,15
77385.44,1202,69
57703.36,1594,38
144740.4,1444,92
40751.3,537,55
60012.9,987,70
78890.2,1514,58
11080.26,533,11
11984.4,1188,7
161291.6,1920,84
44562.56,892,39
127108,1700,84
32550.52,1599,19
100971.04,1908,43
129114.76,1701,68
30001.59,1393,23
82731.6,836,95
65405.2,686,90
72217.86,1577,37
140412.9,1961,65
11224.5,569,10
55660,1240,35
47737.6,816,67
37781.7,866,35
127463.76,1638,69
49046.4,1240,34
29814.6,1093,20
88907.84,1771,42
24272.6,742,23
127745.2,1372,81
8592.48,428,8
32410.9,602,45
92508.48,1606,68
24451,665,30
57010.1,646,69
30753.28,478,68
43650.56,516,62
32826.5,925,26
128398,1738,71
115819.25,1745,67
22963.2,998,20
52167.6,1265,44
53526.2,690,78
43419.4,435,97
39648,1365,24
135352.8,1736,68
106184,1632,62
11034.8,1565,4
76286.96,896,97
36369.3,866,35
21837.69,1027,13
52760.24,784,63
71226.84,1342,61
22440,545,32
66934,1055,60
53413.75,683,75
159120,1850,80
138214,1522,75
9420.04,1458,2
62998.8,886,70
18444.69,1141,13
63547,1099,50
16506.72,1714,6
39492.23,869,49
26469.17,401,43
78993.5,965,66
64510.56,1042,52
76668.48,1741,43
17570.38,567,26
58087.56,1242,37
55471.78,1142,49
10493.01,509,11
56474,1324,35
131528.94,1979,62
27572.3,1817,10
99968.33,1681,47
6336.5,510,1
62811.39,1723,39
39856.94,411,91
59710.68,1009,58
41107.2,1220,31
8449.85,1647,3
94920,1300,57
7058.88,596,2
90831.3,985,78
175644,1426,100
25615.8,1894,10
114069.15,1423,65
45604,555,70
130216.68,1636,79
77977.08,1003,67
142853.22,1823,94
41276.56,1119,31
10013.95,471,15
30020.4,1364,20
10615,1123,5
150042.34,1302,93
10971,853,7
65526.8,703,80
76598.01,977,71
83065.92,1467,64
31905.6,1460,18
63921.8,1955,28
37085.04,496,67
27147.2,421,56
42449.52,824,56
48777.75,1495,31
31953.68,441,71
52127.95,597,65
89408.8,1873,57
46504.8,1730,22
51540.2,1661,30
114625.1,1527,62
28414.4,424,45
110710.66,1782,67
160175.07,1723,91
65764.44,1803,31
71627.4,802,93
25587.24,621,41
94814.46,1653,46
44157.2,1210,32
174998.88,1826,86
29464.25,473,55
9551.36,916,6
185271.9,1754,89
51999.22,1682,31
72627.6,823,70
74248.72,1396,53
136168.06,1353,99
33867,490,55
57693.24,701,76
119988.6,1378,90
76511.4,1913,45
42788.65,795,47
35003.85,915,29
39737.08,1191,36
66457.56,1322,54
31835.3,905,34
30822,985,21
18773.86,429,33
79300.15,845,87
201541.15,1905,91
70823.4,1030,79
44137.44,1196,32
76039.9,1137,66
48683.54,1733,27
69843.6,663,90
31152,1098,25
136984.24,1677,92
21278.46,414,47
10422.23,717,9
89807.88,1732,43
119771,1713,67
21659.82,1106,17
65802.15,811,85
112548.68,1533,66
52291.95,827,65
51853.44,538,76
11195.84,748,6
52051.76,697,74
80197.2,978,86
46432.8,1664,28
18653.1,1423,10
42898,675,64
36176.34,1407,26
71761.2,1149,70
82547.5,1125,78
31765.56,991,28
177271.38,1891,94
59348,647,84
55842.82,709,89
56461.44,707,88
119934.88,1348,93
20508.4,758,18
53539.5,1022,45
83914.75,979,75
65512,1599,40
89960.31,1827,47
169431.18,1989,81
23946.75,1325,17
89272.68,1089,93
19995.68,1017,16
213119.84,1964,91
56050,1700,25
135414.4,1554,76
7458,400,4
41402.3,411,95
62235.6,1376,45
151322.88,1932,79
59508.9,835,66
50760.16,742,71
8773.44,1718,2
16420.96,1526,6
104329.24,1231,69
50299.34,931,54
25896.64,1394,13
60943.2,1343,53
43926.4,590,58
37823.43,979,31
48477.6,1018,48
41715.39,679,49
8444,1722,2
92312.8,1695,44
45163.44,607,64
67202.7,1107,55
123307.68,1568,71
17968,1940,9
24874.2,1029,22
39052.52,1101,28
78666.56,1208,52
82907.3,1746,53
66700,1500,35
69492.74,766,87
80881.81,863,87
45811.2,556,94
16434,1739,5
52838.4,1251,40
152763,1919,77
103606.72,1416,76
30708.88,792,28
30256.96,1328,21
95183.01,821,93
141834.88,1816,86
55959,590,74
13938,1015,10
7721,907,3
31756.39,453,51
96448.8,1974,44
27954.24,1682,12
27445.6,1244,15
54320,1258,50
87822.69,1569,57
11521.6,594,12
16920.68,1037,12
24189.12,1063,19
58021.85,639,99
33947.4,1134,30
47820.47,557,67
85144,1800,38
16496.78,503,21
76112.4,1321,64
11615.7,749,10
