rentals,day_of_week,season,holiday,temp,humidity
228,Sunday,Fall,0,23,0.424
93,Monday,Fall,0,27,0.354
37,Tuesday,Fall,0,14,0.347
80,Wednesday,Fall,0,29,0.352
129,Thursday,Fall,0,28,0.445
77,Friday,Fall,0,15,0.39
204,Saturday,Fall,0,30,0.483
188,Sunday,Fall,0,30,0.406
103,Monday,Fall,0,24,0.423
115,Tuesday,Fall,0,25,0.49
53,Wednesday,Fall,0,28,0.546
26,Thursday,Fall,0,10,0.57
66,Friday,Fall,0,24,0.581
68,Saturday,Fall,0,10,0.672
74,Sunday,Fall,0,20,0.59
72,Monday,Fall,0,27,0.504
56,Tuesday,Fall,0,24,0.6
41,Wednesday,Fall,0,12,0.507
107,Thursday,Fall,0,22,0.487
36,Friday,Fall,0,11,0.521
78,Saturday,Fall,0,17,0.617
85,Sunday,Fall,0,19,0.67
26,Monday,Fall,0,10,0.609
28,Tuesday,Fall,0,11,0.577
84,Wednesday,Fall,0,17,0.486
45,Thursday,Fall,0,19,0.519
66,Friday,Fall,0,13,0.581
128,Saturday,Fall,0,28,0.645
69,Sunday,Fall,0,14,0.609
19,Monday,Fall,1,15,0.636
68,Tuesday,Fall,0,26,0.545
92,Wednesday,Fall,0,28,0.519
43,Thursday,Fall,0,11,0.453
55,Friday,Fall,0,11,0.512
168,Saturday,Fall,0,17,0.444
156,Sunday,Fall,0,24,0.407
58,Monday,Fall,0,19,0.332
72,Tuesday,Fall,0,21,0.274
74,Wednesday,Fall,0,18,0.319
70,Thursday,Fall,0,18,0.228
101,Friday,Fall,0,19,0.166
211,Saturday,Fall,0,21,0.147
213,Sunday,Fall,0,26,0.137
94,Monday,Fall,0,16,0.137
53,Tuesday,Fall,0,12,0.12
68,Wednesday,Fall,0,19,0.165
72,Thursday,Fall,0,16,0.153
141,Friday,Fall,0,25,0.066
162,Saturday,Fall,0,28,0.093
180,Sunday,Fall,0,23,0.176
44,Monday,Fall,0,10,0.242
48,Tuesday,Fall,0,14,0.232
60,Wednesday,Fall,0,19,0.281
59,Thursday,Fall,1,25,0.381
138,Friday,Fall,0,23,0.467
184,Saturday,Fall,0,23,0.444
127,Sunday,Fall,0,29,0.515
55,Monday,Fall,0,16,0.428
60,Tuesday,Fall,0,28,0.518
40,Wednesday,Fall,0,15,0.587
39,Thursday,Fall,0,14,0.683
33,Friday,Fall,0,30,0.758
68,Saturday,Fall,0,21,0.813
31,Sunday,Fall,0,15,0.787
17,Monday,Fall,0,17,0.762
17,Tuesday,Fall,0,17,0.85
19,Wednesday,Fall,0,28,0.876
45,Thursday,Fall,0,24,0.78
28,Friday,Fall,0,24,0.871
15,Saturday,Fall,0,10,0.933
0,Sunday,Fall,0,21,1
3,Monday,Winter,1,11,0.945
0,Tuesday,Spring,0,3,1
2,Wednesday,Spring,0,12,0.929
9,Thursday,Spring,0,10,0.921
0,Friday,Spring,0,-4,0.821
0,Saturday,Spring,0,-5,0.729
0,Sunday,Spring,0,-3,0.72
11,Monday,Spring,0,5,0.783
1,Tuesday,Spring,0,3,0.752
0,Wednesday,Spring,1,-2,0.766
0,Thursday,Spring,1,-5,0.697
9,Friday,Spring,0,6,0.75
0,Saturday,Spring,0,-1,0.828
17,Sunday,Spring,0,5,0.79
20,Monday,Spring,0,8,0.731
0,Tuesday,Spring,0,-5,0.771
5,Wednesday,Spring,0,6,0.789
0,Thursday,Spring,0,-4,0.768
35,Friday,Spring,0,11,0.845
3,Saturday,Spring,0,2,0.858
9,Sunday,Spring,0,3,0.856
2,Monday,Spring,0,0,0.865
14,Tuesday,Spring,0,7,0.822
0,Wednesday,Spring,0,-3,0.889
0,Thursday,Spring,0,1,0.876
0,Friday,Spring,0,-4,0.865
27,Saturday,Spring,0,8,0.78
0,Sunday,Spring,0,-4,0.801
3,Monday,Spring,1,5,0.741
0,Tuesday,Spring,0,-5,0.716
8,Wednesday,Spring,0,8,0.796
0,Thursday,Spring,0,-5,0.702
6,Friday,Spring,0,2,0.664
30,Saturday,Spring,0,9,0.632
55,Sunday,Spring,0,7,0.579
11,Monday,Spring,0,4,0.637
0,Tuesday,Spring,0,0,0.736
12,Wednesday,Spring,1,14,0.768
0,Thursday,Spring,1,3,0.854
4,Friday,Spring,0,8,0.894
31,Saturday,Spring,0,14,0.83
0,Sunday,Spring,0,0,0.841
1,Monday,Spring,0,5,0.91
5,Tuesday,Spring,0,2,0.842
21,Wednesday,Spring,0,11,0.784
7,Thursday,Spring,0,6,0.879
0,Friday,Spring,0,1,0.837
14,Saturday,Spring,0,9,0.926
0,Sunday,Spring,0,-3,0.941
16,Monday,Spring,0,15,0.877
15,Tuesday,Spring,0,10,0.88
7,Wednesday,Spring,0,10,0.863
12,Thursday,Spring,0,8,0.786
24,Friday,Spring,0,7,0.722
27,Saturday,Spring,0,10,0.654
78,Sunday,Spring,0,12,0.568
0,Monday,Spring,0,0,0.549
0,Tuesday,Spring,0,-5,0.466
12,Wednesday,Spring,0,3,0.41
0,Thursday,Spring,0,-5,0.42
40,Friday,Spring,0,10,0.515
67,Saturday,Spring,0,13,0.523
19,Sunday,Spring,0,3,0.572
7,Monday,Spring,0,3,0.631
33,Tuesday,Spring,0,15,0.706
3,Wednesday,Spring,0,2,0.8
0,Thursday,Spring,0,0,0.754
0,Friday,Spring,1,-5,0.783
48,Saturday,Spring,0,12,0.782
18,Sunday,Spring,0,7,0.782
0,Monday,Spring,0,-2,0.837
5,Tuesday,Spring,0,14,0.904
8,Wednesday,Spring,0,13,0.896
3,Thursday,Spring,1,4,0.842
0,Friday,Spring,0,0,0.803
32,Saturday,Spring,0,14,0.833
12,Sunday,Spring,1,14,0.883
9,Monday,Spring,0,7,0.79
9,Tuesday,Spring,0,4,0.699
0,Wednesday,Spring,0,0,0.618
10,Thursday,Spring,0,1,0.557
33,Friday,Spring,1,13,0.549
55,Saturday,Spring,0,10,0.586
65,Sunday,Spring,0,15,0.67
5,Monday,Spring,0,1,0.752
11,Tuesday,Spring,0,5,0.817
12,Wednesday,Spring,0,11,0.788
16,Thursday,Spring,0,10,0.714
14,Friday,Spring,0,10,0.811
7,Saturday,Spring,0,5,0.899
0,Sunday,Spring,0,-2,0.814
